resources,cache_last_updated,cache_url,created,description,format,hash,id,last_modified,mimetype,mimetype_inner,name,package_id,position,resource_type,revision_id,size,state,url,url_type,webstore_last_updated,webstore_url,dpe:portal,dpe:tags,dpe:themes,dpe:organisation.approval_status,dpe:organisation.created,dpe:organisation.description,dpe:organisation.id,dpe:organisation.image_url,dpe:organisation.is_organization,dpe:organisation.name,dpe:organisation.revision_id,dpe:organisation.state,dpe:organisation.title,dpe:organisation.type
143,,,2020-01-19T11:12:47.514Z,"<p>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">A building which proves both accommodation and workspace combined or tethered workspace for artists and creatives.</span>
</p>
<p>
<strong style=\""background-color: rgb(247, 247, 247); color: rgb(238, 38, 109);\"">How data was compiled: </strong>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">GLA led research.</span>
</p>
<p>
<strong style=\""background-color: rgb(247, 247, 247); color: rgb(238, 38, 109);\"">Credit for use: </strong>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">GLA</span>
</p>",csv,991bacc4671607d786dcce21ec20a108,3bce412e-b1c8-4554-a120-a5920008ab17,,,,Live in artists’ workspace (data captured in January 2019),73db1f23-e7cd-4e90-aeb2-c9402296a307,21,,,1839,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/cultural-infrastructure-map/2020-01-19T11%3A12%3A46/Live_in_artists_workspace.csv,,,,data.london.gov.uk,"culture, theatre, music , galleries, museums, pubs, communiy centres, dance, art, arts","[{'description': '', 'display_name': 'Business and Economy', 'id': '737cc837-707b-42a9-8f58-c70f35a8eb28', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A08.31/business-and-economy.png', 'name': 'business-and-economy', 'title': 'Business and Economy'}, {'description': ""Datasets about London's facilities including museums and galleries."", 'display_name': 'Art and Culture', 'id': '66a92e74-4325-4b62-a0eb-5d851d43a90b', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A00.37/art-and-culture.png', 'name': 'art-and-culture', 'title': 'Art and Culture'}, {'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
144,,,2020-01-19T11:12:36.674Z,"<p>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">Buildings which are targeted for creative industries tenants who are primarily desk-based in their activity. Co-working spaces are shared by two or more individuals or small businesses. There are typically no creative or technical facilities for making provided on site. Along with deskspace, shared amenity facilities are often provided (e.g. kitchen, meeting rooms), beyond the minimal service office offer.</span>
</p>
<p>
<strong style=\""background-color: rgb(247, 247, 247); color: rgb(238, 38, 109);\"">How data was compiled: </strong>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">GLA commissioned research. Led by We Made That</span>
</p>
<p>
<strong style=\""background-color: rgb(247, 247, 247); color: rgb(238, 38, 109);\"">Credit for use: </strong>
<span style=\""background-color: rgb(247, 247, 247); color: rgb(43, 46, 56);\"">GLA.</span>
</p>",csv,d7a33c420d9036d7eff06322529971f8,40bf1a44-98ac-40d1-b558-9698f99bd050,,,,Creative co-working desk space (data captured in November 2018),73db1f23-e7cd-4e90-aeb2-c9402296a307,31,,,11755,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/cultural-infrastructure-map/2020-01-19T11%3A12%3A36/Creative_coworking_desk_space.csv,,,,data.london.gov.uk,"culture, theatre, music , galleries, museums, pubs, communiy centres, dance, art, arts","[{'description': '', 'display_name': 'Business and Economy', 'id': '737cc837-707b-42a9-8f58-c70f35a8eb28', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A08.31/business-and-economy.png', 'name': 'business-and-economy', 'title': 'Business and Economy'}, {'description': ""Datasets about London's facilities including museums and galleries."", 'display_name': 'Art and Culture', 'id': '66a92e74-4325-4b62-a0eb-5d851d43a90b', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A00.37/art-and-culture.png', 'name': 'art-and-culture', 'title': 'Art and Culture'}, {'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
145,,,2020-01-10T16:25:07.516Z,,pdf,132f5555d3f5103f8de71215e8e4ffa4,804925a3-64b8-487a-bf18-5abff887506a,,,,Rebuttal Russell Brown.pdf,e5766a09-ab6f-4c69-a123-f7c2dd92a421,3,,,214932,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/citroen-site-public-inquiry-documents/2020-01-10T16%3A25%3A05/Rebuttal%20Russell%20Brown.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
146,,,2019-03-27T19:50:06.829Z,,pdf,45b42f7532928074a99bf9d19e4f4399,adb4fc80-aacd-4448-8dab-5d935bc8cb99,,,,A_44032_MH - A11-00-05 - LEVEL 00_SHEET 05.pdf,51f40cf8-4b52-4923-bd1b-cc4832af0026,141,,,2357240,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents/2019-03-27T19%3A50%3A00/A_44032_MH%20-%20A11-00-05%20-%20LEVEL%2000_SHEET%2005.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
147,,,2019-10-09T10:29:50.064Z,,pdf,ce791975d2edd1cab1ce2a75f897b1c7,1a9ad76b-93fd-446c-af19-4d4c567185b1,,,,LFB Ethnicity Pay Gap Action Plan 2018 (January 2019),e8808350-c602-4040-88ce-991e32018d87,6,,,282415,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/london-fire-brigade---gender-and-ethnicity-pay-gap/2019-10-09T10%3A29%3A47/LFB%20Ethnicity%20Pay%20Gap%20Action%20Plan%20January%202019.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Transparency', 'id': '1d5852ed-0315-4472-927a-3d1bdaa4f630', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A24.62/transparency.png', 'name': 'transparency', 'title': 'Transparency'}, {'description': '', 'display_name': 'Employment and Skills', 'id': '50f66ade-4ef9-4814-b2cb-94e5b316d7f6', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A11.98/employment-and-skills.png', 'name': 'employment-and-skills', 'title': 'Employment and Skills'}, {'description': '', 'display_name': 'Crime and Community Safety', 'id': '45f26a78-96f6-44e0-846f-701c623f0efd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A48.01/crime-and-community-safety.png', 'name': 'crime-and-community-safety', 'title': 'Crime and Community Safety'}, {'description': '', 'display_name': 'Income, Poverty and Welfare', 'id': '2b08e7dd-8abe-4e10-96e0-899d344639fd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A49.31/income-poverty-welfare.png', 'name': 'income-poverty-welfare', 'title': 'Income, Poverty and Welfare'}]",approved,2014-10-01T12:57:29.029Z,,ed9dfa59-ec53-443f-a843-15b216b65288,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A52%3A26.80/lfb.png,True,lfb,,active,London Fire Brigade,organization
148,,,2019-12-09T08:42:04.388Z,,spreadsheet,58455427cdb5c33400dad0c08e434b21,f1fe465e-890e-423b-8dc8-1fa93769d2a1,,,,HIS Indicators data.xlsx,b8492829-9fe6-464b-b754-8d640c56259f,0,,,652691,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/london-health-inequalities-strategy-indicators/2019-12-09T08%3A42%3A02/HIS%20indicators%20update%20Nov%202019.xlsx,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Health', 'id': '4199df0d-d454-4373-b710-aeed29098a59', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A28.38/health.png', 'name': 'health', 'title': 'Health'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
149,,,2019-11-27T12:17:15.900Z,,csv,f50519fc52bba902b8d2b9282252c828,9fa300f2-a74e-47e6-a0ea-afc3aa00f217,,,,GCSE Results by Ethnicity (CSV Version),db32884d-7347-4385-8ada-de8379a16c62,3,,,138065,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/gcse-results-by-borough/2019-11-27T12%3A17%3A14/gcse-results-ethnicity.csv,,,,data.london.gov.uk,"gcse, results, fsm, free-school-meals, meals, free, ethnicity, ethnic, language, english, maths, mathematics, attainment 8, progress 8, economic-fairness","[{'description': '', 'display_name': 'Education', 'id': '2c4d2275-67a6-401b-89ca-4ed62556b901', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A02.46/education.png', 'name': 'education', 'title': 'Education'}, {'description': '', 'display_name': 'Young People', 'id': 'c16c3149-16d2-435f-a326-8eb3a613dadf', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A42.12/young-people.png', 'name': 'young-people', 'title': 'Young People'}]",approved,2014-10-01T12:57:25.855Z,"The Department for Education (DfE) is a department of the UK government responsible for issues affecting people in England up to the age of 19, including child protection and education. DfE is directly responsible for state schools in England.",f1e2d47c-3d52-4413-b376-ba05a0d00bfa,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A47%3A15.18/department-for-education.png,True,department-for-education,,active,Department for Education,organization
150,,,2019-03-18T14:38:24.932Z,,spreadsheet,72087044d7088fd361a485daeb7fff5e,b9315718-05f0-4cbf-881f-15760c5842bb,,,,Waste Authority Contract Register - Contract Expiry Dates,2f66a9ab-ed87-4600-90e5-09a172173fb9,0,,,30341,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/waste-contracts-register/2019-03-18T14%3A38%3A22/Waste%20Authority%20Contract%20Register%20-%20Contract%20Expiry%20Dates.xlsx,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Environment', 'id': 'fb70a4e6-311c-41c1-8429-3fe27ebc928a', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A20.08/environment.png', 'name': 'environment', 'title': 'Environment'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
151,,,2020-01-06T14:53:10.673Z,,spreadsheet,22ec7a02a73d9ad93feafaa2f48d23d3,b8108df0-cbbd-41e5-9567-345fa5f1385f,,,,GLA grants 2014- Jan 2020.xlsx,7901b7b4-c7c2-4357-8b91-192cbdbe494f,0,,,202165,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/gla-grants-data/2020-01-06T14%3A53%3A08/360Giving%20-%20Jan%202020%20update.xlsx,,,,data.london.gov.uk,,"[{'description': ""Datasets about London's facilities including museums and galleries."", 'display_name': 'Art and Culture', 'id': '66a92e74-4325-4b62-a0eb-5d851d43a90b', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A00.37/art-and-culture.png', 'name': 'art-and-culture', 'title': 'Art and Culture'}, {'description': '', 'display_name': 'Championing London', 'id': 'ade11456-53d3-4524-86f1-9d35b14b9318', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A34.69/championing-london.png', 'name': 'championing-london', 'title': 'Championing London'}, {'description': '', 'display_name': 'Employment and Skills', 'id': '50f66ade-4ef9-4814-b2cb-94e5b316d7f6', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A11.98/employment-and-skills.png', 'name': 'employment-and-skills', 'title': 'Employment and Skills'}, {'description': '', 'display_name': 'Health', 'id': '4199df0d-d454-4373-b710-aeed29098a59', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A28.38/health.png', 'name': 'health', 'title': 'Health'}, {'description': '', 'display_name': 'Income, Poverty and Welfare', 'id': '2b08e7dd-8abe-4e10-96e0-899d344639fd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A49.31/income-poverty-welfare.png', 'name': 'income-poverty-welfare', 'title': 'Income, Poverty and Welfare'}, {'description': '', 'display_name': 'Transparency', 'id': '1d5852ed-0315-4472-927a-3d1bdaa4f630', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A24.62/transparency.png', 'name': 'transparency', 'title': 'Transparency'}, {'description': '', 'display_name': 'Young People', 'id': 'c16c3149-16d2-435f-a326-8eb3a613dadf', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A42.12/young-people.png', 'name': 'young-people', 'title': 'Young People'}, {'description': '', 'display_name': 'Business and Economy', 'id': '737cc837-707b-42a9-8f58-c70f35a8eb28', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A08.31/business-and-economy.png', 'name': 'business-and-economy', 'title': 'Business and Economy'}, {'description': '', 'display_name': 'Crime and Community Safety', 'id': '45f26a78-96f6-44e0-846f-701c623f0efd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A48.01/crime-and-community-safety.png', 'name': 'crime-and-community-safety', 'title': 'Crime and Community Safety'}, {'description': '', 'display_name': 'Education', 'id': '2c4d2275-67a6-401b-89ca-4ed62556b901', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A02.46/education.png', 'name': 'education', 'title': 'Education'}, {'description': '', 'display_name': 'Housing', 'id': '67b1cea4-806d-4b63-90d7-155cf3ac3c03', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A45%3A36.93/housing.png', 'name': 'housing', 'title': 'Housing'}, {'description': '', 'display_name': 'Sport', 'id': '6bfb7207-24fd-492f-b0e5-99a566d716bd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A16.42/sport.png', 'name': 'sport', 'title': 'Sport'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
152,,,2019-08-14T13:15:21.617Z,,pdf,432b5352115dc9246b460d4e5c178965,b032a1d7-40dd-4ba3-9a7b-8028466016ab,,,,Apr 2019 - YouGov / GLA poll results,c9aabd15-c36e-40d0-a149-5df9c3501612,10,,,575999,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/gla-poll-results-2019/2019-08-14T13%3A15%3A19/YouGov%20GLA%20April%202019%20poll%20results.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Transparency', 'id': '1d5852ed-0315-4472-927a-3d1bdaa4f630', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A24.62/transparency.png', 'name': 'transparency', 'title': 'Transparency'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
153,,,2019-03-27T20:04:51.651Z,,pdf,c5067cc5d584c484b023aae51828da80,5de67154-4eeb-4e81-a3ce-b7b08e1b0a54,,,,A_44032_MH - A50-00-38 - TYPICAL 3 BEDROOM APARTMENT_G.01.pdf,51f40cf8-4b52-4923-bd1b-cc4832af0026,76,,,247313,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents/2019-03-27T20%3A04%3A42/A_44032_MH%20-%20A50-00-38%20-%20TYPICAL%203%20BEDROOM%20APARTMENT_G.01.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
154,,,2019-03-27T20:07:40.328Z,,pdf,8918b664c7490f964569e97d796ea3e3,999e4ba1-34ce-4b1e-a460-b60c6c1a6d4a,,,,Pentavia Mill Hill_Design and Access Statement_Part15.pdf,51f40cf8-4b52-4923-bd1b-cc4832af0026,60,,,22734408,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents/2019-03-27T20%3A07%3A25/Pentavia%20Mill%20Hill_Design%20and%20Access%20Statement_Part15.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
155,,,2019-03-27T19:29:26.985Z,,pdf,261bef7616bf1be678de067a4e9cbc03,243dd3c5-4565-409b-91ea-0dd1e399e51d,,,,3.Alternatives.pdf,51f40cf8-4b52-4923-bd1b-cc4832af0026,227,,,1156477,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents/2019-03-27T19%3A29%3A24/3.Alternatives.pdf,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
156,,,2019-02-20T16:32:47.471Z,,document,6eccd790235d605a6dd0d92ac60d9f61,ce963172-98c9-4b3a-8f84-2332bc46b6fd,,,,Financial Position as at the end of December 2018 Q3,b9d666ea-e860-45f0-93ad-e2529d33d3d6,5,,,1320568,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/lfb-financial-and-performance-reporting-2018-19/2019-02-20T16%3A32%3A44/Financial%20Position%20as%20at%20the%20end%20of%20Dec%202018%20v4.docx,,,,data.london.gov.uk,"budget, performance, monitoring, LFB, LFC, GLA, mayor","[{'description': '', 'display_name': 'Crime and Community Safety', 'id': '45f26a78-96f6-44e0-846f-701c623f0efd', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A44%3A48.01/crime-and-community-safety.png', 'name': 'crime-and-community-safety', 'title': 'Crime and Community Safety'}, {'description': '', 'display_name': 'Transparency', 'id': '1d5852ed-0315-4472-927a-3d1bdaa4f630', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A24.62/transparency.png', 'name': 'transparency', 'title': 'Transparency'}]",approved,2014-10-01T12:57:29.029Z,,ed9dfa59-ec53-443f-a843-15b216b65288,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A52%3A26.80/lfb.png,True,lfb,,active,London Fire Brigade,organization
157,,,2019-05-31T10:26:19.249Z,,zip,9d5aa98bed237a9abb54daa25dbea032,9ad8a837-b3b1-48d9-b28d-a1de0aed38fd,,,,10. Tenure Plan (May addendum).zip,cebec6be-b8bf-4d7d-ab00-ad58e5a9eba0,17,,,203718,active,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/pentavia-retail-park-public-consultation-documents-31-may---3-july-2019/2019-05-31T10%3A26%3A17/10.%20Tenure%20Plan%20%28May%20addendum%29.zip,,,,data.london.gov.uk,,"[{'description': '', 'display_name': 'Planning', 'id': 'b781eefa-ff44-44b8-be63-fc3acd37547c', 'image_display_url': 'https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/topic/2018-11-01T18%3A46%3A07.60/planning.png', 'name': 'planning', 'title': 'Planning'}]",approved,2014-10-01T12:57:27.134Z,"The GLA is a strategic regional authority, with powers over transport, policing, economic development, and fire and emergency planning. Three functional bodies — Transport for London, the Mayor's Office for Policing and Crime, and London Fire and Emergency Planning Authority — are responsible for delivery of services in these areas. ",5b858cb2-5c92-4b2b-8c1d-141cfc330d9c,https://airdrive-images.s3-eu-west-1.amazonaws.com/london/img/publisher/2018-05-25T16%3A48%3A43.94/gla.png,True,gla,,active,Greater London Authority (GLA),organization
